raceId,driverId,stop,pit_lap,year,round,circuit_name,race_position,lap_time_ms,constructorId,grid_position,constructor_name,driver_champ_points,constructor_champ_points,personal_best_ms,lap_time_delta,prev_pit_lap,laps_since_last_pit,max_lap,laps_remaining,driverId_ahead,approx_gap_ahead,driverId_behind,approx_gap_behind,tyre_deg_slope_ms_per_lap,rival_ahead_just_pitted,rival_behind_just_pitted,strategy
1007,830,2,48,2018,19,Autódromo Hermanos Rodríguez,1,84301,9,2,Red Bull,191.0,337.0,79186,5115,13,35,71,23,,15.0,817.0,15.0,864.9000000000042,0,0,Standard
1107,848,2,14,2023,9,Red Bull Ring,10,80648,3,10,Williams,7.0,7.0,69560,11088,2,12,71,57,815.0,1.777,847.0,0.668,1847.9000000000003,0,0,Standard
1047,825,1,31,2020,17,Yas Marina Circuit,19,108161,210,20,Haas F1 Team,1.0,3.0,101999,6162,0,31,55,24,841.0,0.996,,15.0,371.7000000000114,0,0,Undercut
914,820,1,2,2014,15,Suzuka Circuit,20,195235,206,21,Marussia,0.0,2.0,116472,78763,0,2,44,42,818.0,2.463,813.0,9.389,-5000.0,0,0,Emergency
906,20,1,15,2014,7,Circuit Gilles Villeneuve,7,97188,9,3,Red Bull,45.0,99.0,79171,18017,0,15,70,55,807.0,3.219,813.0,3.758,3197.0000000000105,0,0,Standard
957,830,2,18,2016,10,Silverstone Circuit,1,104770,9,3,Red Bull,72.0,168.0,96407,8363,7,11,52,34,,15.0,1.0,12.901,-1750.9000000000153,0,1,Standard
1134,822,1,11,2024,14,Circuit de Spa-Francorchamps,11,115226,15,14,Sauber,0.0,0.0,107019,8207,0,11,44,33,847.0,0.501,825.0,0.845,754.0,1,0,Undercut
1101,847,2,49,2023,4,Baku City Circuit,8,112152,131,11,Mercedes,18.0,56.0,103370,8782,11,38,51,2,840.0,7.318,839.0,15.0,1280.49999999999,0,0,Standard
940,834,2,33,2015,14,Suzuka Circuit,18,104654,209,19,Manor Marussia,0.0,0.0,101467,3187,22,11,53,20,831.0,15.0,13.0,7.173,318.2999999999952,0,0,Standard
1130,4,1,19,2024,10,Circuit de Barcelona-Catalunya,10,85298,117,10,Aston Martin,41.0,58.0,78334,6964,0,19,66,47,839.0,0.515,815.0,0.956,655.6000000000053,0,0,Undercut
950,836,3,43,2016,3,Shanghai International Circuit,17,109444,209,21,Manor Marussia,0.0,0.0,101489,7955,27,16,56,13,828.0,11.168,154.0,5.06,1230.5000000000055,0,0,Standard
1109,857,1,18,2023,11,Hungaroring,2,87253,1,4,McLaren,17.0,59.0,82736,4517,0,18,70,52,830.0,11.419,815.0,9.758,398.79999999999717,0,0,Standard
1131,840,1,20,2024,11,Red Bull Ring,11,76301,117,17,Aston Martin,17.0,58.0,70143,6158,0,20,71,51,807.0,0.163,825.0,0.878,790.8000000000031,0,0,Undercut
1117,844,1,31,2023,19,Autódromo Hermanos Rodríguez,1,87924,6,1,Ferrari,151.0,322.0,82332,5592,0,31,71,40,,15.0,830.0,1.611,776.1000000000067,0,0,Standard
932,4,1,31,2015,7,Circuit Gilles Villeneuve,16,96685,1,13,McLaren,0.0,4.0,79580,17105,0,31,70,39,828.0,6.078,831.0,10.961,3107.5999999999904,0,0,Standard
1142,4,1,4,2024,22,Las Vegas Strip Street Circuit,19,105129,117,16,Aston Martin,62.0,86.0,96553,8576,0,4,50,46,822.0,0.416,861.0,0.146,-2350.8999999999996,0,0,Undercut
956,836,1,13,2016,9,Red Bull Ring,7,77021,209,12,Manor Marussia,0.0,0.0,70859,6162,0,13,71,58,154.0,2.404,821.0,3.084,750.3000000000019,0,0,Standard
940,20,2,30,2015,14,Suzuka Circuit,2,100732,6,4,Ferrari,203.0,310.0,97906,2826,13,17,53,23,1.0,14.752,3.0,15.0,355.5000000000021,0,1,Standard
1124,855,2,7,2024,4,Suzuka Circuit,16,102874,15,20,Sauber,0.0,0.0,97160,5714,1,6,53,46,858.0,1.333,822.0,12.133,-5000.0,0,1,Standard
906,3,2,44,2014,7,Circuit Gilles Villeneuve,2,97748,131,1,Mercedes,122.0,240.0,78616,19132,18,26,70,26,1.0,15.0,13.0,0.494,3031.600000000012,0,0,Overcut
1109,858,1,13,2023,11,Hungaroring,13,88197,3,20,Williams,0.0,11.0,83496,4701,0,13,70,57,817.0,0.787,840.0,7.735,397.90000000000407,0,0,Undercut
1033,815,2,35,2020,3,Hungaroring,6,86055,211,4,Racing Point,16.0,22.0,80090,5965,3,32,70,35,825.0,5.444,817.0,0.028,809.9999999999919,0,0,Overcut
967,831,1,20,2016,20,Autódromo José Carlos Pace,7,122952,15,21,Sauber,0.0,0.0,87547,35405,0,20,71,51,832.0,1.707,817.0,1.963,-956.3000000000027,0,0,Standard
1057,849,2,48,2021,6,Baku City Circuit,13,173070,3,16,Williams,0.0,0.0,106608,66462,9,39,51,3,841.0,1.888,822.0,3.043,5000.0,1,1,Standard
966,822,1,19,2016,19,Autódromo Hermanos Rodríguez,8,88788,3,8,Williams,81.0,130.0,83540,5248,0,19,71,52,830.0,0.896,807.0,6.224,728.0000000000015,0,0,Undercut
953,18,2,30,2016,6,Circuit de Monaco,12,107523,1,13,McLaren,3.0,12.0,79670,27853,8,22,78,48,13.0,7.415,836.0,15.0,3340.599999999996,0,0,Standard
1052,832,1,15,2021,1,Bahrain International Circuit,5,100840,6,8,Ferrari,0.0,0.0,94509,6331,0,15,56,41,815.0,0.254,20.0,8.401,643.1000000000045,0,0,Undercut
957,20,1,5,2016,10,Silverstone Circuit,10,156254,6,11,Ferrari,96.0,192.0,96933,59321,0,5,52,47,4.0,1.926,815.0,0.208,-5000.0,0,0,Emergency
1084,830,2,36,2022,11,Red Bull Ring,3,74594,9,1,Red Bull,181.0,328.0,67275,7319,13,23,71,35,832.0,2.746,1.0,15.0,657.8999999999944,0,0,Standard
1098,839,3,32,2023,1,Bahrain International Circuit,18,104296,214,9,Alpine F1 Team,0.0,0.0,96797,7499,15,17,57,25,807.0,2.257,846.0,10.804,710.699999999995,0,0,Standard
1046,847,4,78,2020,16,Bahrain International Circuit,2,59091,131,2,Mercedes,0.0,533.0,55404,3687,63,15,87,9,815.0,4.439,839.0,3.336,523.1000000000068,0,0,Standard
990,838,2,28,2018,2,Bahrain International Circuit,10,99693,1,14,McLaren,2.0,12.0,95131,4562,10,18,57,29,154.0,0.167,825.0,2.739,461.19999999999635,0,1,Undercut
928,20,2,30,2015,3,Shanghai International Circuit,4,108687,6,3,Ferrari,40.0,52.0,103018,5669,13,17,56,26,8.0,0.061,13.0,15.0,1052.0999999999983,0,0,Undercut
